driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A3,Azerbaijan,1,GG bond,Reserve,3,1:44.533,,FINISHED
A3,Azerbaijan,2,sharkbee,Reserve,5,1:43.496,+37.287,FINISHED
A3,Azerbaijan,3,188066,Reserve,4,1:44.256,+38.942,FINISHED
A3,Azerbaijan,4,WackY,Reserve,6,1:44.597,+1 Lap,FINISHED
A3,Azerbaijan,5,yeye,Reserve,7,1:46.171,+2 Laps,FINISHED
A3,Azerbaijan,6,Ta1ko,Reserve,1,1:44.070,+2 Laps,FINISHED
A3,Azerbaijan,7,wen,Reserve,2,1:49.688,DNF,RETIRED
A3,Azerbaijan,8,taka10969,Reserve,8,,DNF,RETIRED
