casedate,driverName,driverGroup,GP,penalty,penaltyLP,penaltyWarning,qualiBan,raceBan,PenaltyDescription
2022/10/16,SHZ,A1,Spain,qualiban,0,0,-1,0,Execution of qualiban
2022/10/23,BBNIZI,A1,Azerbaijan,Warning,-1,0.5,0,0,Incorrect tyre set in qualiying session
2022/10/23,Head brother,A1,Azerbaijan,"Waring, LP penalty, qualiban",-2,1,1,0,Blocking flying lap
2022/10/23,bomber-20,A1,Azerbaijan,"Waring, LP penalty",-1,0.5,0,0,Causing a collision
2022/10/23,tinnycatty809yhb,A1,Azerbaijan,"Time penalty, LP penalty",-2,0,0,0,Causing a collision
2022/10/23,Livistar,A1,Azerbaijan,"Waring, LP penalty, qualiban",-2,1,1,0,Blocking flying lap
,,,,,,,,,
,,,,,,,,,
