driverName,team1,driverGroup1,team2,driverGroup2,driverStatus,description,transferTime,tokenUsed,teamtokenUsed
SHZ,Reserve,AFEC,ABC,AFEC,1st driver,driver grouped,2022/10/10,0,0
bomber-20,Reserve,AFEC,ABC,AFEC,2ed driver,driver grouped,2022/10/10,0,0
Mushi,Reserve,AFEC,V1T,AFEC,1st driver,driver grouped,2022/10/11,0,0
Ayanami,Reserve,AFEC,V1T,AFEC,2ed driver,driver grouped,2022/10/11,0,0
