driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A3,Australia,1,g eight,Reserve,4,1:20.299,,FINISHED
A3,Australia,2,LandoRicciardo,Reserve,1,1:21.597,+6.433,FINISHED
A3,Australia,3,sharkbee,Reserve,10,1:20.316,+27.552,FINISHED
A3,Australia,4,Mike.XYL,Reserve,3,1:22.103,+31.754,FINISHED
A3,Australia,5,Perfect,Reserve,7,1:22.789,+53.293,FINISHED
A3,Australia,6,taka10969,Reserve,9,1:25.152,+2 Lap,FINISHED
A3,Australia,7,Ta1ko,Reserve,6,1:22.494,DNF,RETIRED
A3,Australia,8,GG bond,Reserve,5,1:22.997,DNF,RETIRED
A3,Australia,9,magpie,Reserve,2,1:21.804,DNF,RETIRED
A3,Australia,10,yeye,Reserve,8,1:23.438,DNF,RETIRED
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
