driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A2,Austria,1,YakumoCC,Low Speed Player,1:04.803,S,FINISHED
A2,Austria,2,Y,Low Speed Player,1:04.824,S,FINISHED
A2,Austria,3,Mikko,Reserve,1:04.988,S,FINISHED
A2,Austria,4,jack,j r y,1:05.128,S,FINISHED
A2,Austria,5,LandoRicciardo,Reserve,1:05.156,S,FINISHED
A2,Austria,6,hhhzw,Reserve,1:05.234,S,FINISHED
A2,Austria,7,Ayanami,WOFA C2H6,1:05.320,M,FINISHED
A2,Austria,8,HanyueYY,TOP,1:05.373,S,FINISHED
A2,Austria,9,ZghosT,TOP,1:05.390,S,FINISHED
A2,Austria,10,M4,Reserve,1:05.495,S,FINISHED
A2,Austria,11,Kogasa,Reserve,1:05.560,S,FINISHED
A2,Austria,12,Promise,Reserve,1:05.749,S,FINISHED
A2,Austria,13,Charlotte Amor,Reserve,1:05.782,S,FINISHED
A2,Austria,14,LINGJ,muamua,1:05.908,S,FINISHED
A2,Austria,15,RainBow,j r y,1:06.756,S,FINISHED
A2,Austria,16,Go7D3n WEST 999,High And Alone,,,FINISHED
A2,Austria,17,tinnycatty809yhb,High And Alone,,,FINISHED
A2,Austria,18,firezai,WOFA C2H6,,,QB
A2,Austria,19,magpie,Reserve,,,FINISHED
A2,Austria,20,KINGBOB,muamua,,,QB
