driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A2,Austria,1,YakumoCC,Low Speed Player,1,1:07.365,,FINISHED
A2,Austria,2,LandoRicciardo,Reserve,5,1:07.331,+2.377,FINISHED
A2,Austria,3,magpie,Reserve,19,1:07.752,+11.878,FINISHED
A2,Austria,4,Ayanami,WOFA C2H6,7,1:07.143,+20.482,FINISHED
A2,Austria,5,ZghosT,TOP,9,1:07.811,+22.703,FINISHED
A2,Austria,6,HanyueYY,TOP,8,1:07.960,+26.544,FINISHED
A2,Austria,7,hhhzw,Reserve,6,1:07.388,+36.497,FINISHED
A2,Austria,8,Y,Low Speed Player,2,1:06.856,+38.479,FINISHED
A2,Austria,9,jack,j r y,4,1:07.494,+45.835,FINISHED
A2,Austria,10,Mikko,Reserve,3,1:07.522,+54.691,FINISHED
A2,Austria,11,firezai,WOFA C2H6,18,1:08.022,+57.446,FINISHED
A2,Austria,12,LINGJ,muamua,14,1:08.023,+63.804,FINISHED
A2,Austria,13,Kogasa,Reserve,11,1:05.968,+97.041,FINISHED
A2,Austria,14,tinnycatty809yhb,High And Alone,17,1:08.100,+1 Lap,FINISHED
A2,Austria,15,RainBow,j r y,15,1:08.196,+2 Laps,FINISHED
A2,Austria,16,Promise,Reserve,12,1:08.147,DNF,RETIRED
A2,Austria,17,M4,Reserve,10,1:08.338,DNF,RETIRED
A2,Austria,18,Charlotte Amor,Reserve,13,1:09.376,DNF,RETIRED
A2,Austria,19,KINGBOB,muamua,20,1:09.385,DNF,RETIRED
A2,Austria,20,Go7D3n WEST 999,High And Alone,16,1:08.818,DNF,RETIRED
