casedate,driverName,driverGroup,GP,penalty,penaltyLP,penaltyWarning,qualiBan,raceBan,PenaltyDescription
2022/9/4,SBSDAVET,A1,Bahrain,10 Second Time Penalty,-2,1,0,0,Causing a collision
2022/9/4,Seb V5,A1,Bahrain,Qualifying Ban,-1,1,1,0,Ignoring blue flag and causing a collision during qualifying
2022/9/4,Head brother,A1,Bahrain,10 Second Stop and Go Penalty,-3,1,0,0,Causing a severe collision
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
