name,team,position,Laps,grid,pits,status,bestLapTime,totalTime,penalties,tyreStints
ZL,(null),1,16,8,1,FINISHED,1:39.841,27:37.009,0,
zbk,(null),2,16,1,1,FINISHED,1:39.431,27:32.354,5,
Speedkimi,(null),3,16,3,1,FINISHED,1:40.123,27:41.458,0,
Seb V5,(null),4,16,2,1,FINISHED,1:40.500,27:45.298,3,
Niraschtoe,(null),5,16,4,1,FINISHED,1:40.768,28:05.705,0,
Rapture,(null),6,16,9,1,FINISHED,1:41.935,28:07.061,0,
Headbrother,(null),7,16,5,1,FINISHED,1:40.453,28:15.084,0,
KimitheBest,(null),8,16,7,1,FINISHED,1:42.228,28:20.162,0,
yueye,(null),9,16,14,1,FINISHED,1:41.305,28:09.352,11,
Ryan Chiang,(null),10,16,6,1,FINISHED,1:41.683,28:25.430,0,
reggiesun,(null),11,16,12,1,FINISHED,1:43.303,28:35.352,0,
WB.ZHAO,(null),12,16,10,1,FINISHED,1:43.452,29:18.623,0,
KotoriMakiNico,(null),13,16,13,1,FINISHED,1:44.199,29:19.828,3,
BG2_,(null),14,15,11,1,FINISHED,1:44.315,27:33.487,9,
adj,(null),15,5,15,0,DISQUALIFIED,1:47.823,10:52.916,0,
