16007,PENA,1,Rapture,Speedkimi,Warning,Small Collision,0,0
16008,PENA,1,Speedkimi,Rapture,Warning,Small Collision,0,0
16009,PENA,1,zbk,-,Warning,Corner cutting ran wide gained time minor,0,0
16010,PENA,1,ZL,Headbrother,Warning,Small Collision,0,0
16011,PENA,1,adj,WB.ZHAO,Warning,Small Collision,0,0
16012,PENA,1,WB.ZHAO,adj,Warning,Small Collision,0,0
16013,PENA,1,BG2_,-,Warning,Corner cutting ran wide gained time minor,0,0
16014,PENA,1,Headbrother,KimitheBest,Warning,Small Collision,0,0
16015,PENA,1,Headbrother,ZL,Warning,Small Collision,0,0
16016,PENA,1,WB.ZHAO,reggiesun,Warning,Small Collision,0,0
16017,PENA,1,Headbrother,-,Warning,Corner cutting ran wide gained time minor,0,0
16018,PENA,2,Ryan Chiang,Speedkimi,Stop Go,Big Collision,5,0
16019,PENA,2,KimitheBest,Headbrother,Warning,Small Collision,0,0
16020,PENA,3,zbk,Seb V5,Warning,Small Collision,0,0
16021,PENA,3,Seb V5,zbk,Warning,Small Collision,0,0
16022,PENA,3,KotoriMakiNico,-,Warning,Corner cutting ran wide gained time minor,0,0
16023,PENA,3,KotoriMakiNico,-,Warning,Corner cutting ran wide gained time significant,0,0
16024,PENA,3,BG2_,-,Warning,Corner cutting ran wide gained time minor,0,0
16025,PENA,3,Ryan Chiang,Headbrother,Warning,Small Collision,0,0
16026,PENA,3,KimitheBest,Ryan Chiang,Warning,Small Collision,0,0
16027,PENA,3,KimitheBest,Ryan Chiang,Warning,Small Collision,0,0
16028,PENA,4,yueye,-,Warning,Corner cutting ran wide gained time minor,0,0
16029,PENA,4,KotoriMakiNico,-,Warning,Corner cutting ran wide gained time minor,0,0
16030,PENA,4,KotoriMakiNico,-,Time penalty,Multiple warnings,3,0
16031,PENA,5,yueye,-,Warning,Corner cutting ran wide gained time minor,0,0
16032,PENA,5,BG2_,-,Warning,Corner cutting ran wide gained time minor,0,0
16033,PENA,5,BG2_,-,Time penalty,Multiple warnings,3,0
16034,PENA,6,Rapture,-,Warning,Corner cutting ran wide gained time minor,0,0
16035,PENA,6,Rapture,-,Warning,Corner cutting ran wide gained time minor,0,0
16036,PENA,6,BG2_,-,Warning,Corner cutting ran wide gained time minor,0,0
16037,PENA,6,BG2_,-,Warning,Corner cutting gained time,0,0
16038,PENA,6,adj,-,Retired,Safety car falling too far back,0,255
16039,PENA,7,Seb V5,-,Warning,Corner cutting ran wide gained time minor,0,0
16040,PENA,7,Seb V5,-,Warning,Corner cutting ran wide gained time minor,0,0
16041,PENA,9,yueye,-,Stop Go,Corner cutting ran wide gained time extreme,5,0
16042,PENA,9,zbk,-,Stop Go,Pit lane speeding,5,0
16043,PENA,9,yueye,-,Warning,Corner cutting ran wide gained time minor,0,0
16044,PENA,9,yueye,-,Time penalty,Multiple warnings,3,0
16045,PENA,9,KotoriMakiNico,-,Warning,Corner cutting ran wide gained time minor,0,0
16046,PENA,9,BG2_,-,Warning,Corner cutting ran wide gained time minor,0,0
16047,PENA,9,BG2_,-,Time penalty,Multiple warnings,3,0
16048,PENA,12,yueye,-,Warning,Corner cutting ran wide gained time significant,0,0
16049,PENA,12,yueye,-,Warning,Corner cutting ran wide gained time minor,0,0
16050,PENA,12,WB.ZHAO,-,Warning,Corner cutting ran wide gained time minor,0,0
16051,PENA,12,WB.ZHAO,BG2_,Warning,Small Collision,0,0
16052,PENA,13,Seb V5,-,Warning,Corner cutting ran wide gained time minor,0,0
16053,PENA,13,Seb V5,-,Time penalty,Multiple warnings,3,0
16054,PENA,13,BG2_,-,Time penalty,Corner cutting gained time,3,0
16055,PENA,13,Niraschtoe,-,Warning,Corner cutting ran wide gained time minor,0,0
16056,PENA,13,yueye,-,Warning,Corner cutting ran wide gained time minor,0,0
16057,PENA,13,yueye,-,Time penalty,Multiple warnings,3,0
16058,PENA,13,Ryan Chiang,-,Warning,Corner cutting ran wide gained time minor,0,0
16059,PENA,14,yueye,-,Warning,Corner cutting ran wide gained time minor,0,0
16060,PENA,14,yueye,-,Warning,Corner cutting ran wide gained time minor,0,0
16061,PENA,14,KimitheBest,-,Warning,Corner cutting ran wide gained time minor,0,0
16062,PENA,14,KimitheBest,-,Warning,Corner cutting ran wide gained time minor,0,0
16063,PENA,15,KimitheBest,Headbrother,Warning,Small Collision,0,0
16064,PENA,16,zbk,-,Warning,Corner cutting ran wide gained time minor,0,0
16065,PENA,16,zbk,-,Time penalty,Unserved drive through penalty,5,255
16066,PENA,16,yueye,-,Time penalty,Unserved drive through penalty,5,255
16067,PENA,16,KotoriMakiNico,WB.ZHAO,Warning,Small Collision,0,0
