name,team,position,Laps,grid,pits,status,bestLapTime,totalTime,penalties,tyreStints
mushimu,MERCEDES,1,5,0,0,FINISHED,1:27.159,7:28.807,0,HSS
Wang.BC,RENAULT,2,2,0,0,FINISHED,1:27.282,3:19.022,0,SSS
bomber-20,MERCEDES,3,3,0,0,FINISHED,1:27.288,4:22.527,0,SSS
Dirk,HAAS,4,3,0,0,FINISHED,1:27.305,4:23.258,0,SSS
zbk,FERRARI,5,2,0,0,FINISHED,1:27.404,2:55.194,0,SSSS
Quick  Nick,RED_BULL_RACING,6,1,0,0,FINISHED,1:27.497,1:58.224,0,SSSS
Ayanami,HAAS,7,2,0,0,FINISHED,1:27.813,2:56.281,0,SSS
SHZ,WILLIAMS,8,2,0,0,RETIRED,1:27.943,3:07.139,0,SS
Head brother,FERRARI,9,2,0,0,FINISHED,1:28.091,3:12.244,0,SSSS
Alick,RED_BULL_RACING,10,1,0,0,FINISHED,1:28.100,1:58.837,0,SSS
ZghosT,RENAULT,11,3,0,0,FINISHED,1:28.289,4:58.613,0,SSS
shotsbaldwin,MCLAREN,12,1,0,0,FINISHED,1:41.349,1:49.189,0,SSSS
RICCIARDO,MCLAREN,13,0,0,0,RETIRED1,0.000,0.000,0,S
VETTEL,RACING_POINT,14,0,0,0,RETIRED1,0.000,0.000,0,S
LATIFI,WILLIAMS,15,0,0,0,RETIRED1,0.000,0.000,0,S
GASLY,TORO_ROSSO,16,0,0,0,RETIRED1,0.000,0.000,0,S
STROLL,RACING_POINT,17,0,0,0,RETIRED1,0.000,0.000,0,S
TSUNODA,TORO_ROSSO,18,0,0,0,RETIRED1,0.000,0.000,0,S
ZHOU,ALFA_ROMEO,19,0,0,0,RETIRED1,0.000,0.000,0,S
BOTTAS,ALFA_ROMEO,20,0,0,0,RETIRED1,0.000,0.000,0,S
