driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A2,San Marino,1,Mikko,WOFA C2H6,3,1:17.818,,FINISHED
A2,San Marino,2,HanyueYY,TOP,4,1:18.766,+5.759,FINISHED
A2,San Marino,3,KINGBOB,muamua,12,1:18.778,+10.928,FINISHED
A2,San Marino,4,Y,Low Speed Player,7,1:19.561,+11.951,FINISHED
A2,San Marino,5,magpie,A3,20,1:19.166,+38.211,FINISHED
A2,San Marino,6,Go7D3n WEST 999,Na'as,19,1:18.432,+42.486,FINISHED
A2,San Marino,7,hhhzw,Reserve,11,1:19.561,+44.170,FINISHED
A2,San Marino,8,Charles Jiang,TOP,13,1:19.039,+45.403,FINISHED
A2,San Marino,9,jack,j r y,10,1:19.129,+56.661,FINISHED
A2,San Marino,10,YakumoCC,Low Speed Player,6,1:19.144,+57.224,FINISHED
A2,San Marino,11,LandoRicciardo,A3,8,1:18.721,+63.929,FINISHED
A2,San Marino,12,PPJACK,Reserve,5,1:17.483,+1 Lap,FINISHED
A2,San Marino,13,tinnycatty809yhb,j r y,9,1:17.996,+1 Lap,FINISHED
A2,San Marino,14,i4foru,Reserve,14,1:17.797,+2 Laps,RETIRED
A2,San Marino,15,RainBow,Reserve,15,1:19.918,DNF,RETIRED
A2,San Marino,16,Charlotte Amor,Na'as,18,1:33.894,DNF,RETIRED
A2,San Marino,17,Lugo,Team HII,17,,DNF,RETIRED
A2,San Marino,18,Ayanami,WOFA C2H6,1,,DNF,RETIRED
A2,San Marino,19,Wilson Leclerc,NIO333,2,,DNF,DSQ
A2,San Marino,20,dasu,Max UJS Racing,16,,DNF,DSQ
