driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A1,San Marino,1,CM401ASM,CodeMaster Sucks,4,1:18.473,,FINISHED
A1,San Marino,2,Seb V5,Reserve,11,1:18.371,+5.808,FINISHED
A1,San Marino,3,Suburbanite,CodeMaster Sucks,1,1:17.079,+6.110,FINISHED
A1,San Marino,4,zbk,DNF,5,1:17.383,+6.609,FINISHED
A1,San Marino,5,SHZ,Reserve,9,1:18.754,+10.538,FINISHED
A1,San Marino,6,SHMJimmy,Pit Lane Killer,2,1:18.247,+10.564,FINISHED
A1,San Marino,7,tinnycatty809yhb,A2,10,1:18.783,+58.390,FINISHED
A1,San Marino,8,Livistar,Reserve,12,1:18.731,+61.684,FINISHED
A1,San Marino,9,333,3b,8,1:19.653,+67.215,FINISHED
A1,San Marino,10,Head brother,DNF,7,1:17.512,+85.670,FINISHED
A1,San Marino,11,Ayanami,A2,6,1:18.022,+3 Laps,FINISHED
A1,San Marino,12,wofa,Reserve,3,1:19.488,DNF,RETIRED
A1,San Marino,13,i4foru,A2,13,1:20.827,DNF,RETIRED
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
