casedate,driverName,driverGroup,GP,penalty,penaltyLP,penaltyWarning,qualiBan,raceBan,PenaltyDescription
2022/10/29,magpie,A2,Britain,"Time penalty, LP penalty",-1,0,0,0,Casuing a severe collision
2022/10/29,magpie,A2,Britain,"Time penalty, LP penalty",-2,0,0,0,Casuing a severe collision
2022/10/29,i4foru,A2,Britain,qualiban,0,0,-1,0,Execution of qualiban
