driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A2,Britain,1,Mikko,WOFA C2H6,1:27.575,S,FINISHED
A2,Britain,2,Y,Low Speed Player,1:27.850,S,FINISHED
A2,Britain,3,YakumoCC,Low Speed Player,1:27.904,S,FINISHED
A2,Britain,4,Jack,j r y,1:27.985,S,FINISHED
A2,Britain,5,Ayanami,WOFA C2H6,1:28.157,S,FINISHED
A2,Britain,6,LandoRicciardo,Reserve,1:28.188,S,FINISHED
A2,Britain,7,GROSJEAN,Reserve,1:28.346,S,FINISHED
A2,Britain,8,hhhzw,Reserve,1:28.384,S,FINISHED
A2,Britain,9,HanyueYY,TOP,1:28.445,S,FINISHED
A2,Britain,10,tinnycatty809yhb,High And Alone,1:28.462,S,FINISHED
A2,Britain,11,RainBow,j r y,1:28.470,S,FINISHED
A2,Britain,12,Promise,Reserve,1:28.535,S,FINISHED
A2,Britain,13,ZghosT,TOP,1:28.537,S,FINISHED
A2,Britain,14,guagua,NIO333,1:28.677,S,FINISHED
A2,Britain,15,LINGJ,muamua,1:29.095,S,FINISHED
A2,Britain,16,dasu,Max UJS Racing,1:29.324,S,FINISHED
A2,Britain,17,Ta1ko,A3,1:29.774,S,FINISHED
A2,Britain,18,magpie,Reserve,1:29.967,S,FINISHED
A2,Britain,19,i4foru,A3,,,QB
A2,Britain,20,PPJACK,fass,,,FINISHED
