driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A2,Bahrain,1,Mikko,Reserve,1,1:32.254,,FINISHED
A2,Bahrain,2,YakumoCC,Low Speed Player,4,1:32.749,+2.872,FINISHED
A2,Bahrain,3,firezai,WOFA C2H6,10,1:31.688,+5.696,FINISHED
A2,Bahrain,4,ZghosT,TOP,11,1:31.634,+11.428,FINISHED
A2,Bahrain,5,HanyueYY,TOP,13,1:31.557,+16.940,FINISHED
A2,Bahrain,6,SHZ,Reserve,2,1:31.255,+23.824,FINISHED
A2,Bahrain,7,jack,j r y,16,1:32.203,+28.821,FINISHED
A2,Bahrain,8,Y,Low Speed Player,7,1:32.232,+31.771,FINISHED
A2,Bahrain,9,Joji,Max UJS Racing,9,1:31.449,+37.365,FINISHED
A2,Bahrain,10,tiankong,Reserve,15,1:33.228,+52.585,FINISHED
A2,Bahrain,11,LINGJ,muamua,17,1:32.460,+58.574,FINISHED
A2,Bahrain,12,dasu,Max UJS Racing,14,1:32.311,+69.035,FINISHED
A2,Bahrain,13,RainBow,Reserve,18,1:32.580,+1 Lap,FINISHED
A2,Bahrain,14,Lugo,Team HII,12,1:33.903,DNF,RETIRED
A2,Bahrain,15,M4,Team HII,8,1:29.517,DNF,RETIRED
A2,Bahrain,16,tinnycatty809yhb,j r y,5,1:29.324,DNF,RETIRED
A2,Bahrain,17,Ayanami,WOFA C2H6,3,1:31.220,DNF,RETIRED
A2,Bahrain,18,magpie,A3,6,1:30.919,DNF,RETIRED
,,,,,,,,
,,,,,,,,
