driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A2,Bahrain,1,Mikko,Reserve,1:28.342,S,FINISHED
A2,Bahrain,2,SHZ,Reserve,1:28.613,S,FINISHED
A2,Bahrain,3,Ayanami,WOFA C2H6,1:28.782,S,FINISHED
A2,Bahrain,4,YakumoCC,Low Speed Player,1:28.902,S,FINISHED
A2,Bahrain,5,tinnycatty809yhb,j r y,1:28.926,S,FINISHED
A2,Bahrain,6,magpie,A3,1:28.929,S,FINISHED
A2,Bahrain,7,Y,Low Speed Player,1:28.932,S,FINISHED
A2,Bahrain,8,M4,Team HII,1:28.981,S,FINISHED
A2,Bahrain,9,Joji,Max UJS Racing,1:29.163,S,FINISHED
A2,Bahrain,10,firezai,WOFA C2H6,1:29.236,S,FINISHED
A2,Bahrain,11,ZghosT,TOP,1:29.244,S,FINISHED
A2,Bahrain,12,Lugo,Team HII,1:29.296,S,FINISHED
A2,Bahrain,13,HanyueYY,TOP,1:29.360,S,FINISHED
A2,Bahrain,14,dasu,Max UJS Racing,1:29.388,S,FINISHED
A2,Bahrain,15,tiankong,Reserve,1:29.420,S,FINISHED
A2,Bahrain,16,jack,j r y,1:29.560,S,FINISHED
A2,Bahrain,17,LINGJ,muamua,1:29.612,S,FINISHED
A2,Bahrain,18,RainBow,Reserve,1:29.756,S,FINISHED
,,,,,,,
,,,,,,,
