driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A1,Bahrain,1,Suburbanite,CodeMaster Sucks,1:27.989,S,FINISHED
A1,Bahrain,2,mushimu,Pit Lane Killer,1:28.152,S,FINISHED
A1,Bahrain,3,Seb V5,Reserve,1:28.307,S,FINISHED
A1,Bahrain,4,333,3b,1:28.327,S,FINISHED
A1,Bahrain,5,SHMJimmy,Reserve,1:28.364,S,FINISHED
A1,Bahrain,6,bomber-20,3b,1:28.383,S,FINISHED
A1,Bahrain,7,Legal,Reserve,1:28.531,S,FINISHED
A1,Bahrain,8,Mysery,Reserve,1:28.589,S,FINISHED
A1,Bahrain,9,zbk,Reserve,1:28.645,S,FINISHED
A1,Bahrain,10,Head brother,Reserve,1:28.863,S,FINISHED
A1,Bahrain,11,Kogasa,Pit Lane Killer,1:28.962,S,FINISHED
A1,Bahrain,12,lingerr,Reserve,1:29.544,S,FINISHED
A1,Bahrain,13,SBSDAVET,Reserve,1:29.677,S,FINISHED
A1,Bahrain,14,RROY,CodeMaster Sucks,1:48.989,S,FINISHED
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
