casedate,driverName,driverGroup,GP,penalty,penaltyLP,penaltyWarning,qualiBan,raceBan,PenaltyDescription
2022/9/25,Livistar,A1,San Marino,Qualifying Ban,0,0,1,0,Obstructing flying lap
2022/9/25,SHZ,A1,San Marino,Qualifying Ban,0,0,1,0,Obstructing flying lap
2022/9/25,wofa,A1,San Marino,Qualifying Ban,0,0,1,0,Corner cutting during qualifying
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
