driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A1,San Marino,1,Suburbanite,CodeMaster Sucks,1:15.460,S,FINISHED
A1,San Marino,2,SHMJimmy,Pit Lane Killer,1:15.511,S,FINISHED
A1,San Marino,3,wofa,Reserve,1:15.712,S,FINISHED
A1,San Marino,4,CM401ASM,CodeMaster Sucks,1:15.742,S,FINISHED
A1,San Marino,5,zbk,DNF,1:15.770,S,FINISHED
A1,San Marino,6,Ayanami,A2,1:15.799,S,FINISHED
A1,San Marino,7,Head brother,DNF,1:16.019,S,FINISHED
A1,San Marino,8,333,3b,1:16.196,S,FINISHED
A1,San Marino,9,SHZ,Reserve,1:16.209,S,FINISHED
A1,San Marino,10,tinnycatty809yhb,A2,1:16.386,S,FINISHED
A1,San Marino,11,Seb V5,Reserve,1:16.719,S,FINISHED
A1,San Marino,12,Livistar,Reserve,1:17.007,S,FINISHED
A1,San Marino,13,i4foru,A2,1:17.562,S,FINISHED
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
