Round,raceDate,GP_CHN,GP_ENG,raceLength,raceStatus
1,2022/9/01,巴林,Bahrain,FULL,TO BE GO
2,2022/9/22,圣马力诺,San Marino,FULL,TO BE GO
3,2022/10/13,西班牙,Spain,FULL,TO BE GO
4,2022/10/20,阿塞拜疆,Azerbaijan,FULL,TO BE GO
5,2022/11/10,法国,France,FULL,TO BE GO
6,2022/11/24,比利时,Belgium,FULL,TO BE GO
7,2022/12/22,美国,USA,FULL,TO BE GO
8,2023/1/05,巴西,Brazil,FULL,TO BE GO
9,2023/1/12,阿布扎比,Abu Dhabi,FULL,TO BE GO
