driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A1,Spain,1,Mushi,Reserve,1,1:19.153,,FINISHED
A1,Spain,2,Suburbanite,CodeMaster Sucks,2,1:19.347,+8.215,FINISHED
A1,Spain,3,mushimu,Pit Lane Killer,6,1:19.365,+21.692,FINISHED
A1,Spain,4,Alick,QGod,9,1:19.873,+26.536,FINISHED
A1,Spain,5,LHAM66,Reserve,7,1:19.642,+27.395,FINISHED
A1,Spain,6,Livistar,Reserve,12,1:20.008,+37.715,FINISHED
A1,Spain,7,bomber-20,ABC,5,1:19.610,+30.079,FINISHED
A1,Spain,8,Asuka,Reserve,8,1:20.564,+48.904,FINISHED
A1,Spain,9,Garland,Reserve,11,1:21.080,+51.384,FINISHED
A1,Spain,10,SHZ,ABC,17,1:20.303,+58.631,FINISHED
A1,Spain,11,RROY,CodeMaster Sucks,10,1:20.812,+59.124,FINISHED
A1,Spain,12,Head brother,DNF,16,1:19.856,+3 Laps,FINISHED
A1,Spain,13,lingerr,Reserve,15,1:20.004,DNF,DNF
A1,Spain,14,Kogasa,Pit Lane Killer,14,1:21.782,DNF,RETIRED
A1,Spain,15,Wilson Leclerc,A2,13,1:21.465,DNF,RETIRED
A1,Spain,16,zbk,DNF,4,1:21.760,DNF,RETIRED
A1,Spain,17,Quick Nick,QGod,3,1:19.290,+3.578,DSQ
