driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A3,Spain,1,g eight,Reserve,1,1:20.235,,FINISHED
A3,Spain,2,magpie,Reserve,6,1:19.833,+1.632,FINISHED
A3,Spain,3,188066,Reserve,2,1:21.062,+30.467,FINISHED
A3,Spain,4,Perfect,Reserve,8,1:22.262,+68.943,FINISHED
A3,Spain,5,yeye,Reserve,4,1:23.214,+78.777,FINISHED
A3,Spain,6,Ta1ko,Reserve,3,1:21.054,+2 Laps,FINISHED
A3,Spain,7,taka10969,Reserve,5,1:24.897,+2 Laps,FINISHED
A3,Spain,8,GG Bond,Reserve,7,1:21.712,DNF,RETIRED
