casedate,driverName,driverGroup,GP,penalty,penaltyLP,penaltyWarning,qualiBan,raceBan,PenaltyDescription
2022/10/16,SHZ,A1,Spain,"Time penalty, LP penalty",-2,0,0,0,Causing a severe collision
2022/10/16,RROY,A1,Spain,Time penalty,0,0,0,0,Causing a collision
2022/10/16,Quick Nick,A1,Spain,DSQ,0,0,0,0,Incorrect telemetry settings
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
