driverName,team1,driverGroup1,team2,driverGroup2,driverStatus,description,transferTime,tokenUsed,teamtokenUsed
zbk,Reserve,AFEC,did not finsh,AFEC,1st driver,driver grouped,2022/9/13,0,0
Head brother,Reserve,AFEC,did not finsh,AFEC,2ed driver,driver grouped,2022/9/13,0,0
Lucylsy,Reserve,AFEC,My Sky,AFEC,2ed driver,driver grouped,2022/9/21,0,1
Jakewislet,Reserve,AFEC,My Sky,AFEC,3rd driver,driver grouped,2022/9/21,0,1
tiankong,My Sky,AFEC,Reserve,AFEC,reserved driver,driver grouped,2022/9/21,0,0
littleredhat,Reserve,AFEC,WE LUV MUA,AFEC,1st driver,driver grouped,2022/9/21,0,0
i4foru,Reserve,AFEC,WE LUV MUA,AFEC,2ed driver,driver grouped,2022/9/21,0,0
