driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A2,Azerbaijan,1,Y,Low Speed Player,2,1:44.013,,FINISHED
A2,Azerbaijan,2,YakumoCC,Low Speed Player,4,1:44.241,+0.133,FINISHED
A2,Azerbaijan,3,Ta1ko,A3,11,1:45.181,+34.565,FINISHED
A2,Azerbaijan,4,Jack,j r y,10,1:44.682,+35.147,FINISHED
A2,Azerbaijan,5,ZghosT,TOP,14,1:44.691,+39.545,FINISHED
A2,Azerbaijan,6,Ayanami,WOFA C2H6,3,1:43.504,+57.381,FINISHED
A2,Azerbaijan,7,BBNIZI,Reserve,9,1:42.140,+68.841,FINISHED
A2,Azerbaijan,8,hhhzw,Reserve,1,1:44.910,+71.764,FINISHED
A2,Azerbaijan,9,lingerr,Reserve,6,1:42.677,+92.074,FINISHED
A2,Azerbaijan,10,HanyueYY,TOP,8,1:45.262,+120.078,FINISHED
A2,Azerbaijan,11,KINGBOB,muamua,17,1:42.892,+2 Laps,FINISHED
A2,Azerbaijan,12,Mikko,WOFA C2H6,5,1:42.017,+3 Laps,FINISHED
A2,Azerbaijan,13,RainBow,j r y,15,1:49.206,DNF,RETIRED
A2,Azerbaijan,14,LINGJ,muamua,13,1:46.656,DNF,RETIRED
A2,Azerbaijan,15,GROSJEAN,Reserve,12,,DNF,RETIRED
A2,Azerbaijan,16,dasu,Max UJS Racing,16,,DNF,RETIRED
A2,Azerbaijan,17,i4foru,A3,7,,DNF,RETIRED
